family,method,sample_id_within_method,original_row_index,question
GPT-5.4,M1,19,1646,"In adults with early relapsing-remitting multiple sclerosis, how do serum neurofilament light chain trajectories correlate with MRI lesion burden and 2-year disability progression?"
GPT-5.4,M1,20,1852,What is the most common cause of chronic obstructive pulmonary disease in adults?
GPT-5.4,M1,21,674,"In a patient with new-onset atrial fibrillation, what factors should guide the decision to initiate anticoagulation?"
GPT-5.4,M1,22,1664,"In a patient with anti-NMDA receptor encephalitis who develops refractory status epilepticus despite first-line immunotherapy and multiple antiseizure medications, what evidence guides escalation to second-line immunotherapy versus ketogenic diet or anesthetic coma?"
GPT-5.4,M1,23,1981,"In an adult presenting with sudden unilateral facial weakness, how can you clinically differentiate Bell’s palsy from an acute ischemic stroke?"
GPT-5.4,M1,24,1083,"In adults with type 2 diabetes and biopsy-confirmed metabolic dysfunction–associated steatohepatitis, how does treatment with a GLP-1 receptor agonist versus an SGLT2 inhibitor affect histologic fibrosis progression over 72 weeks?"
GPT-5.4,M1,25,1922,How can circulating tumor DNA dynamics be integrated into adaptive trial designs to improve early efficacy assessment in patients with metastatic solid tumors?
GPT-5.4,M1,26,99,"What is the most likely diagnosis in a young adult with recurrent sinus infections, situs inversus, and bronchiectasis?"
GPT-5.4,M1,27,1179,"In an adult patient presenting with sudden unilateral facial weakness, what clinical features help distinguish Bell’s palsy from an acute ischemic stroke?"
GPT-5.4,M1,28,964,"In a patient with metastatic castration-resistant prostate cancer progressing after docetaxel and an androgen receptor pathway inhibitor, how would homologous recombination repair gene status and prior platinum sensitivity influence selection between PARP inhibition, cabazitaxel, and ^177Lu-PSMA-617?"
GPT-5.4,M1,29,792,"In patients with heart failure with preserved ejection fraction and pulmonary hypertension, how do current hemodynamic criteria distinguish isolated post-capillary from combined post- and pre-capillary disease during right heart catheterization?"
GPT-5.4,M1,30,29,What is the difference between carcinoma in situ and invasive carcinoma?
GPT-5.4,M1,31,628,"In adults with radiologically isolated syndrome, which baseline cerebrospinal fluid and MRI biomarkers most strongly predict conversion to clinically definite multiple sclerosis?"
GPT-5.4,M1,32,944,What nursing assessment finding in a patient with suspected colorectal cancer should be reported to the healthcare provider immediately?
GPT-5.4,M1,33,572,What nursing assessment findings should be reported immediately in a patient with suspected upper gastrointestinal bleeding?
GPT-5.4,M1,34,907,What is the recommended initial management for a patient with suspected upper gastrointestinal bleeding presenting with melena and hemodynamic instability?
GPT-5.4,M1,35,1080,"What is the most likely diagnosis in a young adult presenting with optic neuritis, internuclear ophthalmoplegia, and episodes of limb weakness separated in time and space?"
GPT-5.4,M1,36,450,"In an adult patient with unexplained microcytic anemia, which initial laboratory tests are most useful to distinguish iron deficiency anemia from thalassemia trait?"
GPT-5.4,M1,37,1609,"In adults with moderate-to-severe ulcerative colitis, how does baseline fecal calprotectin correlate with endoscopic and histologic remission rates at 52 weeks in randomized trials of biologic therapy?"
GPT-5.4,M1,38,1290,What is the priority nursing intervention when a patient with schizophrenia begins experiencing command auditory hallucinations directing self-harm?
GPT-5.4,M1,39,1078,"In an adult patient with unexplained fatigue and pallor, which initial laboratory tests are most appropriate to evaluate for iron deficiency anemia?"
GPT-5.4,M1,40,254,What is the most common cause of hemoptysis in a patient with bronchiectasis?
GPT-5.4,M1,41,124,"In adults with obesity-related insulin resistance, how does long-term treatment with GLP-1 receptor agonists alter adipose tissue inflammatory signaling and mitochondrial function compared with SGLT2 inhibitors?"
GPT-5.4,M1,42,1927,"In an adult with fever, new heart murmur, and positive blood cultures, what clinical features and risk factors should raise suspicion for infective endocarditis?"
GPT-5.4,M1,43,251,"In adults with moderate-to-severe ulcerative colitis, how does baseline fecal calprotectin correlate with endoscopic and histologic remission rates at 52 weeks following initiation of anti-TNF therapy?"
GPT-5.4,M1,44,585,What nursing assessment finding in a patient with suspected colorectal cancer should be reported to the healthcare provider immediately?
GPT-5.4,M1,45,1568,What nursing assessment finding is most concerning in a patient with acute upper gastrointestinal bleeding?
GPT-5.4,M1,46,824,"In a patient with newly diagnosed atrial fibrillation, what factors should guide the decision to initiate anticoagulation?"
GPT-5.4,M1,47,507,"In a patient with severe eosinophilic asthma and persistent exacerbations despite high-dose ICS/LABA and tiotropium, how would you differentiate among biologic options based on blood eosinophils, FeNO, oral corticosteroid dependence, and comorbid chronic rhinosinusitis with nasal polyposis?"
GPT-5.4,M1,48,889,"In patients with hypertrophic obstructive cardiomyopathy who remain symptomatic despite maximally tolerated beta-blocker therapy, how do contemporary guideline-directed indications for mavacamten compare with septal reduction therapy in the presence of resting versus provocable LVOT gradients?"
GPT-5.4,M1,49,70,"In patients with severe aortic stenosis and concomitant low-flow, low-gradient physiology with reduced ejection fraction, how do dobutamine stress echocardiography findings differentiate true severe stenosis from pseudo-severe stenosis?"
GPT-5.4,M1,50,1608,"In a patient with suspected chronic obstructive pulmonary disease, which spirometric criterion confirms persistent airflow obstruction?"
GPT-5.4,M2,1,1860,What are the common causes of abdominal pain?
GPT-5.4,M2,2,353,How does sleep apnea affect overall health?
GPT-5.4,M2,3,1333,What symptoms suggest gallbladder disease?
GPT-5.4,M2,4,905,How is Alzheimer's disease diagnosed?
GPT-5.4,M2,5,1289,How is osteoporosis screened for and prevented?
GPT-5.4,M2,6,1273,How is epilepsy diagnosed?
GPT-5.4,M2,7,938,How is a urinary tract infection diagnosed?
GPT-5.4,M2,8,1731,Why do swollen legs sometimes indicate a serious condition?
GPT-5.4,M2,9,65,What are the symptoms of a urinary tract infection?
GPT-5.4,M2,10,1323,What symptoms should prompt concern for a possible stroke?
GPT-5.4,M2,11,56,What can cause chronic lower back pain?
GPT-5.4,M2,12,1292,What are the treatment options for depression in adolescents?
GPT-5.4,M2,13,1118,What is the usual treatment for eczema?
GPT-5.4,M2,14,584,Why do migraines occur?
GPT-5.4,M2,15,374,How can dehydration affect kidney function?
GPT-5.4,M2,16,275,How is chronic kidney disease monitored over time?
GPT-5.4,M2,17,746,Why do some people develop allergies later in life?
GPT-5.4,M2,18,128,How can high cholesterol be managed?
GPT-5.4,M2,19,1646,What causes chronic migraines and how can they be prevented?
GPT-5.4,M2,20,1852,When should a child’s rash be evaluated?
GPT-5.4,M2,21,674,What causes high blood pressure?
GPT-5.4,M2,22,1664,What are the treatment options for rheumatoid arthritis?
GPT-5.4,M2,23,1981,When is surgery considered for gallstones?
GPT-5.4,M2,24,1083,How can dehydration be prevented in hot weather?
GPT-5.4,M2,25,1922,What are the common triggers of migraines?
GPT-5.4,M2,26,99,How can high blood pressure affect overall health?
GPT-5.4,M2,27,1179,What tests help determine the cause of infertility?
GPT-5.4,M2,28,964,How is multiple sclerosis commonly diagnosed?
GPT-5.4,M2,29,792,How does anxiety sometimes produce physical symptoms?
GPT-5.4,M2,30,29,What are the red flags for depression?
GPT-5.4,M2,31,628,What is the difference between a cold and the flu?
GPT-5.4,M2,32,944,What are the possible causes of memory loss?
GPT-5.4,M2,33,572,What are the symptoms of an overactive thyroid?
GPT-5.4,M2,34,907,How is liver cirrhosis detected?
GPT-5.4,M2,35,1080,How is hepatitis diagnosed?
GPT-5.4,M2,36,450,What can cause shortness of breath during mild activity?
GPT-5.4,M2,37,1609,How can someone tell if a fever is serious?
GPT-5.4,M2,38,1290,What are the signs and symptoms of a urinary tract infection?
GPT-5.4,M2,39,1078,Why do people faint unexpectedly?
GPT-5.4,M2,40,254,What are the symptoms of lactose intolerance?
GPT-5.4,M2,41,124,What can cause numbness or tingling in the hands?
GPT-5.4,M2,42,1927,When should unexplained weight loss be concerning?
GPT-5.4,M2,43,251,How can influenza be prevented?
GPT-5.4,M2,44,585,How is pneumonia treated?
GPT-5.4,M2,45,1568,Can certain medications cause memory problems?
GPT-5.4,M2,46,824,What can cause sudden unexplained weight loss?
GPT-5.4,M2,47,507,How are urinary tract infections diagnosed and treated?
GPT-5.4,M2,48,889,How does peripheral artery disease usually present?
GPT-5.4,M2,49,70,How does dehydration affect the body?
GPT-5.4,M2,50,1608,What are the red flags for skin cancer?
GPT-5.4,Med-Rag,1,1447,"In appraising this transplant study, how would you interpret the finding that selected recipients aged 65 years and older had short- and medium-term survival comparable to younger adults despite greater cardiovascular comorbidity, and what factors would you consider when deciding whether these results should influence heart-transplant candidacy criteria, postoperative risk stratification, and long-term management in an older patient?"
GPT-5.4,Med-Rag,2,1114,"In a patient with suspected pseudoxanthoma elasticum, how would you integrate the characteristic cutaneous, ocular, cardiovascular, and hemorrhagic manifestations from the phenotype spectrum to guide your diagnostic evaluation and assessment of potential complications?"
GPT-5.4,Med-Rag,3,1064,"In a nondialysis CKD patient found to have aortic calcification, how would you interpret a relatively low serum sclerostin level in the context of declining eGFR, bone turnover markers, and prior cardiovascular disease, and what pathophysiologic mechanisms and clinical implications would you consider when integrating this finding into cardiovascular and mineral-bone disorder risk assessment?"
GPT-5.4,Med-Rag,4,2287,"In a younger inpatient with schizophrenia who expresses negative attitudes toward medication yet desires substantial involvement in treatment decisions, how would you assess decision-making capacity and structure a shared decision-making approach that addresses psychopathology, therapeutic alliance, and informed consent while optimizing adherence and clinical outcomes?"
GPT-5.4,Med-Rag,5,1537,"In a patient with suspected MEMSA due to a POLG mutation, how would you explain the pathophysiologic link between impaired polymerase gamma function, mitochondrial DNA depletion, and the predominant involvement of high-energy tissues such as muscle, brain, and liver when interpreting the patient’s clinical presentation?"
GPT-5.4,Med-Rag,6,668,"A 4-month-old infant of Ashkenazi Jewish ancestry presents with poor head control, feeding difficulties, hypotonia evolving to spasticity, macrocephaly, and developmental delay; based on the pathophysiology of Canavan disease, how would you explain the link between ASPA gene mutation, N-acetyl-aspartate accumulation, oligodendrocyte dysfunction, and the characteristic clinical and neurodevelopmental features, and what genetic counseling considerations would you discuss with the parents regarding inheritance and prenatal testing?"
GPT-5.4,Med-Rag,7,1583,"In a patient with acute liver failure whose plasma ammonia results show large discrepancies between a dry chemistry assay and an enzymatic-UV method, how would you interpret the potential analytical impact of markedly elevated alanine aminotransferase on ammonia measurement, and how would this influence your diagnostic and monitoring strategy for hyperammonaemia?"
GPT-5.4,Med-Rag,8,2404,"In an athlete presenting with exercise-induced pain along the distal two-thirds of the posteromedial tibial border, how would you interpret the finding that periosteal edema and tibialis posterior tendinous abnormalities are both frequently present in individuals with and without medial tibial stress syndrome, and how would this influence your reasoning about the underlying pathophysiology and clinical evaluation of MTSS?"
GPT-5.4,Med-Rag,9,497,"In an older adult presenting with a persistent unilateral eyelid lesion initially treated as inflammation but now showing progressive thickening, lash loss, and recurrent irritation, how would you evaluate for possible eyelid malignancy, including the key history, examination findings, differential diagnosis, and indications for biopsy and specialist referral?"
GPT-5.4,Med-Rag,10,2480,"How would you counsel and risk-stratify a patient found to carry one versus two copies of the factor V Leiden mutation, including how the difference in inherited mutation burden influences annual thrombosis risk, clinical monitoring, and decisions about prevention in high-risk situations?"
GPT-5.4,Med-Rag,11,471,"In a patient with clinical Stage IIA or III nonseminomatous germ cell tumor undergoing postchemotherapy retroperitoneal lymph node dissection, how would you assess the likelihood of finding viable tumor in the surgical specimen using the available preoperative and pathologic predictors, and how would you distinguish their predictive value from the prognostic significance of IGCCC risk classification for recurrence-free and disease-specific survival?"
GPT-5.4,Med-Rag,12,246,"In a patient with preexisting renal insufficiency who is started on an ACE inhibitor and subsequently develops a modest early rise in serum creatinine or fall in GFR, how would you interpret these changes in light of the evidence on long-term renal protection, and how would this influence your decision to continue therapy and monitor renal function and potassium over time?"
GPT-5.4,Med-Rag,13,923,"In a woman with repeated low-grade cervical cytologic abnormalities and an adequate, normal colposcopic examination, how would you use high-risk HPV testing by hybrid capture to guide the decision for excisional tissue sampling, and how do the reported sensitivity, specificity, and reduction in procedures influence your clinical reasoning for detecting CIN II/III?"
GPT-5.4,Med-Rag,14,1131,"In an older heart transplant recipient who develops new-onset diabetes and serious infections during the first post-transplant year, how would you evaluate and manage post-transplant glucose abnormalities while balancing immunosuppressive therapy, infection risk, cardiovascular comorbidity, and the patient’s medium-term graft outcomes?"
GPT-5.4,Med-Rag,15,670,"A newborn is noted to have a short neck, low posterior hairline, and limited cervical range of motion; how would you clinically evaluate for Klippel-Feil syndrome, and what associated neurological, musculoskeletal, cardiac, genitourinary, auditory, and craniofacial abnormalities would you specifically look for during the assessment?"
GPT-5.4,Med-Rag,16,916,"In a patient presenting with progressive exertional dyspnea and suspected pulmonary hypertension, how would you distinguish pulmonary arterial hypertension related to HIV infection from pulmonary hypertension secondary to chronic lung disease, left-sided valvular disease, sleep apnea, thromboembolic disease, or sarcoidosis using the history, physical examination, and targeted diagnostic evaluation?"
GPT-5.4,Med-Rag,17,1414,"In a child with a posterior fossa tumor and preoperative hydrocephalus, how would you decide between proceeding directly to early tumor resection versus performing a preoperative endoscopic third ventriculostomy, and how do factors such as the severity of hydrocephalus and the likelihood of medulloblastoma influence your assessment of the risk for persistent postoperative hydrocephalus?"
GPT-5.4,Med-Rag,18,1606,"In an infant or child found to have hypermethioninemia, how would you approach the differential diagnosis to distinguish a primary defect in methionine metabolism from secondary causes such as liver disease, excessive dietary methionine intake, or associated metabolic disorders like homocystinuria, tyrosinemia, and galactosemia, and which clinical features and laboratory studies would most strongly guide your reasoning?"
GPT-5.4,Med-Rag,19,402,"In a patient with disseminated stage III or IV low-grade lymphoma, how would you apply the International Prognostic Index at diagnosis to stratify prognosis and guide discussions about expected survival, treatment timing, and overall management, given the reported median survivals across the four IPI risk groups?"
GPT-5.4,Med-Rag,20,1103,"In a newborn or young child presenting with poor feeding, lethargy, vomiting, and irritability, how would you clinically evaluate and differentiate 2-methylbutyryl-CoA dehydrogenase deficiency from other inborn errors of branched-chain amino acid metabolism, and what metabolic findings would support the diagnosis?"
GPT-5.4,Med-Rag,21,2072,"In an infant presenting with hypopigmented skin and silvery-gray hair since early infancy, how would you clinically differentiate among the three types of Griscelli syndrome, and what associated neurologic, immunologic, and dermatologic findings would guide your diagnostic evaluation and urgency of management?"
GPT-5.4,Med-Rag,22,719,"How does impaired PHGDH-mediated de novo serine biosynthesis in the central nervous system explain the major neurologic manifestations of phosphoglycerate dehydrogenase deficiency, particularly in relation to neurotransmitter synthesis, myelin formation, and brain development despite the presence of dietary serine?"
GPT-5.4,Med-Rag,23,2011,"How would you explain to a patient the distinction between metastatic skin cancer involving the brain and a primary brain tumor, and how does this difference influence staging, prognosis, and overall management?"
GPT-5.4,Med-Rag,24,2436,"A child presents with congenital ichthyosis, progressive lower-extremity spasticity, and developmental delay; based on the suspected diagnosis of Sjögren-Larsson syndrome, how would you structure the diagnostic evaluation to confirm the disorder, distinguish it from other neurocutaneous and inherited metabolic conditions, and develop a comprehensive long-term management plan that incorporates genetic testing, rehabilitation, symptomatic drug therapy, multidisciplinary follow-up, genetic counseling, and palliative care when appropriate?"
GPT-5.4,Med-Rag,25,196,"In an elderly woman aged 70 years or older being evaluated for tension-free vaginal tape surgery for stress urinary incontinence, how would you assess and counsel her regarding perioperative cardiovascular and thromboembolic risk, given the reported age-related complications such as pulmonary embolism and cardiac arrhythmia despite similar overall procedural morbidity and continence outcomes compared with younger women?"
GPT-5.4,Med-Rag,26,891,"How would you critically interpret the observed racial differences in counseling rates for diet, exercise, HIV/STD prevention, and mental health in adult primary care visits, and what potential patient-, clinician-, visit-, and health system-level factors should be considered when explaining why black patients appeared more likely to receive some preventive counseling but less likely to receive mental health counseling than white patients?"
GPT-5.4,Med-Rag,27,1264,"In a neonate presenting with craniosynostosis, distinctive facial features, and upper-limb anomalies suggestive of Baller-Gerold syndrome, how would you integrate the history of maternal sodium valproate exposure with the possibility of an underlying RECQL4 mutation when formulating the differential diagnosis, counseling the family, and planning further genetic evaluation?"
GPT-5.4,Med-Rag,28,1034,"How would you interpret the finding that higher CMS Part D medication adherence scores for diabetes medications, antihypertensives, and statins are moderately associated with corresponding Part C intermediate outcome measures, and what clinical, population-level, and health system factors would you consider when evaluating whether improving adherence metrics could causally improve glycemic, blood pressure, and cholesterol control in Medicare Advantage populations?"
GPT-5.4,Med-Rag,29,1325,"In a woman presenting for counseling before a subsequent pregnancy after an index pregnancy complicated by pre-eclampsia or gestational hypertension, how would you interpret and communicate her risk of recurrence and progression to chronic hypertension, and which clinical or routine laboratory features from the index pregnancy would you consider most important in stratifying her risk and planning antenatal surveillance?"
GPT-5.4,Med-Rag,30,509,"A patient with chronic kidney disease and hypertension asks why sodium restriction is important and how to follow a low-sodium diet safely; how would you explain the pathophysiologic effects of excess sodium on fluid balance, blood pressure, the heart, and the kidneys, and what specific dietary counseling would you provide regarding food labels, high-sodium foods to avoid, appropriate low-sodium alternatives, and the risks of potassium-containing salt substitutes in advanced CKD?"
GPT-5.4,Med-Rag,31,1427,"In an adolescent or young adult patient undergoing intensive upper-body physical training, how would you interpret a pattern of increased pull-up performance, aerobic capacity, and lean body mass without a corresponding increase in supraspinatus tendon thickness, and what does this suggest about muscle-tendon adaptation, injury risk, and counseling regarding training progression?"
GPT-5.4,Med-Rag,32,194,"In a male patient with suspected PPM-X syndrome presenting with developmental delay, behavioral abnormalities, hypertonia, gait disturbance, seizures, and possible cardiovascular involvement, how would you synthesize the phenotype to guide your differential diagnosis, targeted cardiovascular evaluation, and overall multidisciplinary management?"
GPT-5.4,Med-Rag,33,1179,"In a patient with suspected Wernicke encephalopathy, how would you interpret diffusion-weighted MRI findings showing bright signal intensity with decreased apparent diffusion coefficient values in the bilateral paramedian thalami, mammillary bodies, and periaqueductal gray matter, and what do these changes suggest about the underlying type of edema, pathophysiology, and potential reversibility after thiamine treatment?"
GPT-5.4,Med-Rag,34,2032,"In a patient population with repeated high-risk exposure to Mycobacterium tuberculosis, how would you interpret the finding that tuberculin skin test positivity is substantially lower in heavily exposed white individuals than in similarly exposed African American individuals, and what host, immunologic, epidemiologic, and test-related factors would you consider when reasoning whether this pattern reflects inherited resistance, differences in latent infection rates, or limitations of the TST as a marker of true infection?"
GPT-5.4,Med-Rag,35,932,"In a patient with advanced HIV/AIDS who presents with chronic cough, weight loss, fever, night sweats, and possible hemoptysis, how would you evaluate and distinguish atypical mycobacterial infection from tuberculosis and other opportunistic pulmonary infections, and how would the patient’s immune status influence your diagnostic and treatment approach?"
GPT-5.4,Med-Rag,36,1124,"In an older adult presenting with progressive forgetfulness, how would you evaluate whether thyroid dysfunction could be contributing to the cognitive symptoms, and what clinical features, laboratory tests, and differential diagnoses would help distinguish this from mild cognitive impairment, dementia, depression, medication effects, or other neurologic causes?"
GPT-5.4,Med-Rag,37,1822,"How would you critically discuss the potential benefits and drawbacks of routinely using standardized depression severity questionnaires in newly diagnosed patients in general practice, particularly in relation to consultation dynamics, diagnostic validity, patient-centered care, and the preservation of GP professional judgement and identity?"
GPT-5.4,Med-Rag,38,1366,"In a child with recurrent sinopulmonary infections and normal IgG and IgA levels, how would you evaluate and confirm selective IgM deficiency, distinguish it from secondary causes or other primary immunodeficiencies, and outline an evidence-based long-term management plan including infection prevention, vaccination strategy, and indications for prophylactic antibiotics or immunoglobulin replacement?"
GPT-5.4,Med-Rag,39,1992,"In an alcohol-dependent man who has completed a 3-week abstinence-focused treatment program, how would you interpret the prognostic value of baseline depressive symptoms and lifetime major depression when assessing his 6-month risk of relapse, and what methodological limitations of this study should influence how confidently these findings are applied in clinical practice?"
GPT-5.4,Med-Rag,40,1258,"A newborn is noted to have bilateral malar hypoplasia, micrognathia, downward-slanting palpebral fissures, lower eyelid colobomas, malformed external ears, and feeding difficulty with intermittent desaturation; how would you evaluate whether these findings are consistent with Treacher Collins syndrome, assess the immediate risks to airway, hearing, vision, and feeding, and prioritize the multidisciplinary management and family counseling?"
GPT-5.4,Med-Rag,41,2274,"How would you develop a comprehensive management plan for a patient with hereditary angioedema that addresses both long-term prophylaxis and the treatment of acute attacks, including airway/hemodynamic support and the appropriate use of currently approved therapies such as C1 inhibitor replacement, ecallantide, and icatibant?"
GPT-5.4,Med-Rag,42,1273,"In a high-risk sibling cohort where mothers received 5000 IU/day of vitamin D during pregnancy and infants received 1000 IU/day until age 3 years, how would you critically evaluate the validity of the reported reduction in autism recurrence from 20% in historical literature to 5% in this open-label, uncontrolled prospective study, and what key methodological features would you incorporate into a future study to better determine whether vitamin D supplementation has a causal protective effect?"
GPT-5.4,Med-Rag,43,1936,"In a psychiatric inpatient service experiencing high nursing turnover, how would you evaluate the relative contribution of perceived leadership support, nurse–manager value congruence, and attitudes toward patient outcomes to turnover intent, and how might these factors inform targeted retention strategies?"
GPT-5.4,Med-Rag,44,1266,"A newborn girl presents with sharply demarcated unilateral ichthyosiform erythroderma and ipsilateral limb defects, and her mother reports that a maternal aunt had similar skin findings. Based on the described X-linked dominant inheritance pattern and the near absence of affected liveborn males in CHILD syndrome, how would you explain the genetic mechanism, expected pedigree pattern, and implications for genetic counseling and recurrence risk in this family?"
GPT-5.4,Med-Rag,45,772,"A neonate presents with poor feeding, vomiting, lethargy, seizures, and a distinctive sweaty-feet odor during an intercurrent illness; based on the pathophysiology of isovaleric acidemia, how would you explain the biochemical basis of this presentation, outline the key diagnostic workup, and discuss the acute and long-term management strategies, including prevention of metabolic decompensation during infections or fasting?"
GPT-5.4,Med-Rag,46,1608,"In a patient with advanced hepatocellular carcinoma involving major vascular or biliary structures, how would you evaluate the potential role of hepatic resection combined with adjunctive procedures such as portal vein thrombectomy, inferior vena cava resection or thrombectomy, bile duct tumor extraction, or intraoperative ethanol injection, and how would the reported survival differences among these subgroups influence your surgical decision-making and postoperative management strategy?"
GPT-5.4,Med-Rag,47,1311,"In an infant with suspected spondylocostal dysostosis type 2 who presents with respiratory distress and a small, rigid thorax, how would you approach the clinical evaluation to confirm the diagnosis, assess the severity of thoracic insufficiency and associated skeletal abnormalities, and plan multidisciplinary management including genetic counseling for an autosomal recessive MESP2-related disorder?"
GPT-5.4,Med-Rag,48,134,"In a patient presenting with hypertension, thrombocytopenia, microangiopathic hemolytic anemia, and acute kidney injury, how would you differentiate atypical hemolytic-uremic syndrome from other causes of thrombotic microangiopathy and explain the role of complement dysregulation, potential genetic predisposition, and relevant environmental triggers in guiding diagnosis and management?"
GPT-5.4,Med-Rag,49,1855,"A kidney transplant recipient develops delayed graft function shortly after surgery and later becomes increasingly anxious, demoralized, and preoccupied with the possibility of graft loss and death after reading about studies linking delayed graft function to poorer long-term outcomes. How would you conduct a psychiatric assessment and formulate a management plan that integrates the patient’s emotional response, illness perceptions, medical uncertainty, and the evidence suggesting a potentially causal relationship between delayed graft function and adverse graft and mortality outcomes?"
GPT-5.4,Med-Rag,50,2399,"In a child suspected of having Ohdo syndrome, SBBYS variant (a KAT6B-related disorder), how would you structure a comprehensive diagnostic evaluation and longitudinal management plan, including confirmation of the genetic diagnosis, assessment for multisystem involvement, coordination of supportive therapies and surgical interventions when indicated, and counseling the family regarding prognosis, recurrence risk, and palliative care considerations?"
GPT-5.4,Self-Instruct,1,1593,How does the MELD score integrate markers of liver and kidney dysfunction to estimate short-term mortality risk?
GPT-5.4,Self-Instruct,2,196,"How does the pathogenesis of Myasthenia Gravis account for fluctuating ocular, bulbar, and generalized muscle involvement in clinical practice?"
GPT-5.4,Self-Instruct,3,239,Summarize the role of weight reduction in idiopathic intracranial hypertension and describe how bariatric surgery may alter long-term outcomes.
GPT-5.4,Self-Instruct,4,2126,"Which causes of tricuspid regurgitation are most likely to require surgical or transcatheter intervention, and what clinical factors support escalation beyond medical therapy?"
GPT-5.4,Self-Instruct,5,1587,"What laboratory variables are included in the MELD score, and why do they reflect severity of chronic liver disease?"
GPT-5.4,Self-Instruct,6,1934,Compare available therapeutic options for Huntington’s disease and explain how pathophysiologic insight influences their use and limitations.
GPT-5.4,Self-Instruct,7,1662,"Develop a clinically reasoned treatment algorithm for a patient with multisystem sarcoidosis who has pulmonary decline, hypercalcemia, and ocular involvement."
GPT-5.4,Self-Instruct,8,486,"Discuss how insulin administration, correction of acidosis, and volume resuscitation interact to alter potassium balance during DKA treatment."
GPT-5.4,Self-Instruct,9,790,"Detail how the Duke Criteria are applied in a patient with fever, a new regurgitant murmur, and suspected infective endocarditis."
GPT-5.4,Self-Instruct,10,2078,Discuss the clinical reasoning behind monitoring strategies and follow-up intervals for patients at different stages of pulmonary hypertension.
GPT-5.4,Self-Instruct,11,2350,"Clarify the supportive care priorities in CLL staging management, including infection prevention, vaccination, and monitoring for secondary malignancies."
GPT-5.4,Self-Instruct,12,1322,Compare the expected hemoglobin trends and mean corpuscular volume patterns in early versus established iron deficiency anemia and anemia of chronic disease.
GPT-5.4,Self-Instruct,13,170,"What guideline-directed steps should be prioritized in the initial 30 minutes of status epilepticus, and how should treatment escalate if seizures persist?"
GPT-5.4,Self-Instruct,14,44,"Discuss how the presentation of acute infective endocarditis varies between native-valve, prosthetic-valve, and device-related infection."
GPT-5.4,Self-Instruct,15,56,Discuss the role of permanent pacemaker insertion in asymptomatic versus symptomatic patients with chronic AV conduction disease.
GPT-5.4,Self-Instruct,16,175,"Detail the time-sensitive treatment priorities for early status epilepticus, including monitoring, laboratory evaluation, and medication selection."
GPT-5.4,Self-Instruct,17,1580,Describe the concept of the HIV window period and analyze why fourth-generation tests have become the preferred standard in guideline-based testing strategies.
GPT-5.4,Self-Instruct,18,1718,"Discuss how you would evaluate disease severity and extent in pemphigus vulgaris before initiating treatment, and explain how this assessment influences management."
GPT-5.4,Self-Instruct,19,1453,Evaluate the role of the Beers Criteria in deprescribing and medication reconciliation during hospital discharge for older adults.
